checks_passed,dataset_id,dataset_name,heterogeneous,n_features,n_features_probable,n_pseudo_categorical,n_samples,num_categorical_columns,num_columns_missing,num_high_cardinality,num_rows_missing,original_n_features,original_n_samples,ratio_n_p,score_hbgt,score_logistic,too_easy
0.0,6.0,letter,,16.0,16.0,0.0,1610.0,0.0,0.0,0.0,0.0,16.0,20000.0,1.0,,,
0.0,24.0,mushroom,,117.0,117.0,0.0,7832.0,22.0,0.0,0.0,0.0,22.0,8124.0,1.0,1.0,0.9998297872340425,1
0.0,26.0,nursery,,27.0,27.0,0.0,8532.0,8.0,0.0,0.0,0.0,8.0,12960.0,1.0,1.0,1.0,1
0.0,28.0,optdigits,,51.0,51.0,13.0,1142.0,0.0,0.0,0.0,0.0,64.0,5620.0,1.0,,,
0.0,30.0,page-blocks,,10.0,10.0,0.0,658.0,0.0,0.0,0.0,0.0,10.0,5473.0,1.0,,,
0.0,32.0,pendigits,,16.0,16.0,0.0,2288.0,0.0,0.0,0.0,0.0,16.0,10992.0,1.0,,,
0.0,44.0,spambase,,57.0,57.0,0.0,3626.0,0.0,0.0,0.0,0.0,57.0,4601.0,1.0,0.9538602941176471,0.9229779411764707,1
0.0,60.0,waveform-5000,,40.0,40.0,0.0,3310.0,0.0,0.0,0.0,0.0,40.0,5000.0,1.0,0.9172205438066465,0.9246727089627391,1
,70.0,"BNG(anneal,nominal,1000000)",,,,0.0,,,,,,,,,,,
,71.0,"BNG(anneal.ORIG,nominal,1000000)",,,,0.0,,,,,,,,,,,
,72.0,BNG(kr-vs-kp),,,,0.0,,,,,,,,,,,
,73.0,"BNG(labor,nominal,1000000)",,,,0.0,,,,,,,,,,,
,74.0,"BNG(letter,nominal,1000000)",,,,0.0,,,,,,,,,,,
,75.0,"BNG(autos,nominal,1000000)",,,,0.0,,,,,,,,,,,
,76.0,"BNG(lymph,nominal,1000000)",,,,0.0,,,,,,,,,,,
,77.0,"BNG(breast-cancer,nominal,1000000)",,,,0.0,,,,,,,,,,,
,78.0,"BNG(mfeat-fourier,nominal,1000000)",,,,0.0,,,,,,,,,,,
,115.0,"BNG(mfeat-karhunen,nominal,1000000)",,,,0.0,,,,,,,,,,,
,116.0,"BNG(bridges_version1,nominal,1000000)",,,,0.0,,,,,,,,,,,
,117.0,"BNG(bridges_version2,nominal,1000000)",,,,0.0,,,,,,,,,,,
,118.0,"BNG(mfeat-zernike,nominal,1000000)",,,,0.0,,,,,,,,,,,
,119.0,"BNG(cmc,nominal,55296)",,,,0.0,,,,,,,,,,,
,120.0,BNG(mushroom),,,,0.0,,,,,,,,,,,
,121.0,"BNG(colic.ORIG,nominal,1000000)",,,,0.0,,,,,,,,,,,
,122.0,"BNG(colic,nominal,1000000)",,,,0.0,,,,,,,,,,,
,123.0,BNG(optdigits),,,,0.0,,,,,,,,,,,
,124.0,"BNG(credit-a,nominal,1000000)",,,,0.0,,,,,,,,,,,
,125.0,"BNG(page-blocks,nominal,295245)",,,,0.0,,,,,,,,,,,
,126.0,"BNG(credit-g,nominal,1000000)",,,,0.0,,,,,,,,,,,
,127.0,"BNG(pendigits,nominal,1000000)",,,,0.0,,,,,,,,,,,
,128.0,"BNG(cylinder-bands,nominal,1000000)",,,,0.0,,,,,,,,,,,
,129.0,"BNG(dermatology,nominal,1000000)",,,,0.0,,,,,,,,,,,
,130.0,BNG(segment),,,,0.0,,,,,,,,,,,
,131.0,"BNG(sick,nominal,1000000)",,,,0.0,,,,,,,,,,,
,132.0,"BNG(sonar,nominal,1000000)",,,,0.0,,,,,,,,,,,
,133.0,"BNG(glass,nominal,137781)",,,,0.0,,,,,,,,,,,
,134.0,BNG(soybean),,,,0.0,,,,,,,,,,,
,135.0,BNG(spambase),,,,0.0,,,,,,,,,,,
,136.0,"BNG(heart-c,nominal,1000000)",,,,0.0,,,,,,,,,,,
,137.0,BNG(tic-tac-toe),,,,0.0,,,,,,,,,,,
,138.0,"BNG(heart-h,nominal,1000000)",,,,0.0,,,,,,,,,,,
,139.0,BNG(trains),,,,0.0,,,,,,,,,,,
,140.0,"BNG(heart-statlog,nominal,1000000)",,,,0.0,,,,,,,,,,,
,141.0,"BNG(vehicle,nominal,1000000)",,,,0.0,,,,,,,,,,,
,142.0,"BNG(hepatitis,nominal,1000000)",,,,0.0,,,,,,,,,,,
,143.0,BNG(vote),,,,0.0,,,,,,,,,,,
,144.0,"BNG(hypothyroid,nominal,1000000)",,,,0.0,,,,,,,,,,,
,146.0,BNG(ionosphere),,,,0.0,,,,,,,,,,,
,147.0,"BNG(waveform-5000,nominal,1000000)",,,,0.0,,,,,,,,,,,
,148.0,"BNG(zoo,nominal,1000000)",,,,0.0,,,,,,,,,,,
,149.0,CovPokElec,,,,0.0,,,,,,,,,,,
1,150.0,covertype,,93,93,0.0,423680,44,0,0,0,54,581012,1,0.8599333333333333,0.7726333333333333,0
1,151.0,electricity,,14,14,0.0,38474,1,0,0,0,8,45312,1,0.8909005708443384,0.74861548947772,0
0,152.0,Hyperplane_10_1E-3,,10,10,0.0,999986,0,0,0,0,10,1000000,1,0.6860666666666667,0.6948,1
0,153.0,Hyperplane_10_1E-4,,10,10,0.0,999668,0,0,0,0,10,1000000,1,0.8857333333333334,0.9129,1
0,154.0,LED(50000),,48,48,0.0,201426,24,0,0,0,24,1000000,1,0.834,0.8028333333333333,1
1,155.0,pokerhand,,25,25,0.0,700852,5,0,0,0,10,829201,1,1.0,0.6001333333333333,0
,156.0,RandomRBF_0_0,,,,0.0,,,,,,,,,,,
