Source,Remove,checks_passed,dataset_id,dataset_name,heterogeneous,Deterministic,Artificial,P/n ratio too high,Stream,Time series,Too many low cardinality,Hidden columns,Too little information,Too many IDs,Redundant,Crafted features,Simulated,n_features,n_samples,num_categorical_columns,num_columns_missing,num_pseudo_categorical_columns,num_rows_missing,original_n_features,original_n_samples,score_hbgt,score_logistic,too_easy
OpenML binary,,0,38,sick,,,,,,,,,,,,,,6,436,22,0,1,1021,29,3772,,,
OpenML binary,,0,44,spambase,,,,,,,,,,,,,,57,3626,0,0,0,0,57,4601,"0,9520220588","0,9200367647",1
OpenML binary,0,1,151,electricity,,,,,,,,,,,,,,7,38474,1,0,0,0,8,45312,"0,8467001748","0,7324810606",0
OpenML binary,,0,152,Hyperplane_10_1E-3,,,,,,,,,,,,,,10,999986,0,0,0,0,10,1000000,"0,6141455161","0,6867005076",1
OpenML binary,,0,153,Hyperplane_10_1E-4,,,,,,,,,,,,,,10,999668,0,0,0,0,10,1000000,"0,7873434856","0,9021319797",1
OpenML binary,1,0,246,BNG(labor),,,1,,,,,,,,,,,7,706000,8,0,1,0,16,1000000,"0,7522135949","0,77060346",1
OpenML binary,,0,251,BNG(breast-w),,,,,,,,,,,,,,9,27092,0,0,0,0,9,39366,"0,9835698282","0,9788897187",1
OpenML binary,,0,256,"BNG(colic,ORIG)",,,,,,,,,,,,,,7,724812,20,0,0,0,27,1000000,"0,5019741321","0,4997277059",1
OpenML binary,1,0,257,BNG(colic),,,1,,,,,,,,,,,7,739558,15,0,0,0,22,1000000,"0,6401061513","0,6321448013",1
OpenML binary,1,0,258,BNG(credit-a),,,1,,,,,,,,,,,6,891984,9,0,0,0,15,1000000,"0,7373203146","0,744100895",1
OpenML binary,,0,260,BNG(credit-g),,,,,,,,,,,,,,3,600452,13,0,4,0,20,1000000,,,
OpenML binary,1,1,262,BNG(cylinder-bands),,,1,,,,,,,,,,,17,843876,21,0,1,0,39,1000000,"0,6001764626","0,5589792317",0
OpenML binary,1,1,264,BNG(sonar),,,1,,,,,,,,,,,60,934924,0,0,0,0,60,1000000,"0,8121273713","0,7430894309",0
OpenML binary,,0,267,BNG(heart-statlog),,,,,,,,,,,,,,6,888108,0,0,7,0,13,1000000,"0,7655116295","0,7901946159",1
OpenML binary,,0,269,BNG(hepatitis),,,,,,,,,,,,,,6,415634,13,0,0,0,19,1000000,"0,752956636","0,7639532471",1
OpenML binary,,0,273,"IMDB,drama",,,,,,,,,,,,,,0,120919,0,0,1001,0,1001,120919,,,
OpenML binary,0,1,293,covertype,1,,0,,,,,,,0,,,0,10,566602,0,0,44,0,54,581012,"0,6937615558","0,5506402794",0
OpenML binary,,0,310,mammography,,,,,,,,,,,,,,6,520,0,0,0,0,6,11183,,,
OpenML binary,,0,350,webdata_wXa,,,,,,,,,,,,,,0,36974,0,0,123,0,123,36974,,,
OpenML binary,,0,351,codrna,,,,,,,,,,0,,,0,8,325710,0,0,0,0,8,488565,"0,9392033543","0,9178197065",1
OpenML binary,0,1,354,poker,,1,,,,,,,,,,,,5,1022616,0,0,5,0,10,1025010,"0,5558863329","0,5122462788",0
OpenML binary,,0,357,vehicle_sensIT,,,,,,,,,,,,,,100,98528,0,0,0,0,100,98528,"0,854839978","0,8490209955",1
OpenML binary,,0,720,abalone,,,,,,,,,,,,,,7,4162,1,0,0,0,8,4177,"0,7665332266","0,7863891113",1
OpenML binary,0,1,722,pol,,,,,,,,,,,,,,26,10082,0,0,22,0,48,15000,"0,986446281","0,8550743802",0
OpenML binary,,0,725,bank8FM,,,,,,,,,,,,,,7,6614,0,0,1,0,8,8192,"0,9453904282","0,9452896725",1
OpenML binary,,0,727,2dplanes,,,,,,,,,,,,,,0,40768,0,0,10,0,10,40768,,,
OpenML binary,,0,728,analcatdata_supreme,,,,,,,,,,,,,,2,1942,0,0,5,0,7,4052,,,
OpenML binary,,0,734,ailerons,,,,,,,,,,,,,,33,11656,0,0,7,0,40,13750,"0,8841864455","0,8772662282",1
OpenML binary,,0,735,cpu_small,,,,,,,,,,,,,,12,4954,0,0,0,0,12,8192,"0,9128446537","0,8997982515",1
OpenML binary,,0,737,space_ga,,,,,,,,,,,,,,6,3082,0,0,0,0,6,3107,"0,8475675676","0,8371891892",1
OpenML binary,1,1,752,puma32H,0,,,,,,,,,,,,,32,8128,0,0,0,0,32,8192,"0,8872488725","0,6527265273",0
OpenML binary,,0,761,cpu_act,,,,,,,,,,,,,,21,4954,0,0,0,0,21,8192,"0,9295225286","0,9188971083",1
OpenML binary,,0,803,delta_ailerons,,,,,,,,,,,,,,5,6692,0,0,0,0,5,7129,"0,9407370518","0,9369521912",1
OpenML binary,1,1,807,kin8nm,0,,,,,,,,,,,,,8,8048,0,0,0,0,8,8192,"0,8665010352","0,7305175983",0
OpenML binary,,0,816,puma8NH,,,,,,,,,,,,,,8,8156,0,0,0,0,8,8192,"0,8136493666","0,8225582346",1
OpenML binary,,0,819,delta_elevators,,,,,,,,,,,,,,5,9464,0,0,1,0,6,9517,"0,8745774648","0,8821126761",1
OpenML binary,0,1,821,house_16H,,,,,,,,,,,,,,16,13488,0,0,0,0,16,22784,"0,8806523351","0,81606128",0
OpenML binary,,0,823,houses,,,,,,,,,,,,,,8,17828,0,0,0,0,8,20640,"0,9802222222","0,9612",1
OpenML binary,,0,833,bank32nh,,,,,,,,,,,,,,28,5086,0,0,4,0,32,8192,"0,7841415465","0,7868938401",1
OpenML binary,1,1,843,house_8L,,,,,,,,,,,1,,,8,13488,0,0,0,0,8,22784,"0,8673585372","0,822041018",0
OpenML binary,,0,846,elevators,,,,,,,,,,,,,,16,10260,0,0,2,0,18,16599,"0,854628126","0,8685936993",1
OpenML binary,,0,847,wind,,,,,,,,,,,,,,14,6146,0,0,0,0,14,6574,"0,8523861171","0,8493492408",1
OpenML binary,,0,871,pollen,,,,,,,,,,,,,,5,3848,0,0,0,0,5,3848,"0,4881385281","0,4853679654",1
OpenML binary,1,1,881,mv,,,1,,,,,,,,,,,7,32894,3,0,0,0,10,40768,"0,993995098","0,8611111111",0
OpenML binary,1,1,901,fried,,,1,,,,,,,,,,,10,40682,0,0,0,0,10,40768,"0,9177402323","0,8332629356",0
OpenML binary,,0,976,JapaneseVowels,,,,,,,,,,,,,,14,3228,0,0,0,0,14,9961,"0,9836945304","0,9581011352",1
OpenML binary,,0,977,letter,,,,,,,,,,,,,,16,1626,0,0,0,0,16,20000,,,
OpenML binary,,0,979,waveform-5000,,,,,,,,,,,,,,40,3384,0,0,0,0,40,5000,"0,8852362205","0,8730314961",1
OpenML binary,,0,980,optdigits,,,,,,,,,,,,,,51,1144,0,0,13,0,64,5620,,,
OpenML binary,0,1,993,kdd_ipums_la_97-small,,,,,,,,,,,,,,20,5188,27,0,13,0,60,7019,"0,877970456","0,8321130379",0
OpenML binary,,0,1000,hypothyroid,,,,,,,,,,,,,,6,446,22,0,1,1021,29,3772,,,
OpenML binary,,0,1002,ipums_la_98-small,,,,,,,,,,,,,,16,1582,39,0,0,0,55,7485,,,
OpenML binary,,0,1018,ipums_la_99-small,,,,,,,,,,,,,,15,1136,41,0,0,0,56,8844,,,
OpenML binary,,0,1019,pendigits,,,,,,,,,,,,,,16,2288,0,0,0,0,16,10992,,,
OpenML binary,,0,1021,page-blocks,,,,,,,,,,,,,,10,1120,0,0,0,0,10,5473,,,
OpenML binary,,0,1037,ada_prior,,,,,,,,,,,,,,6,2264,8,0,0,0,14,4562,,,
