Remove,checks_passed,dataset_id,dataset_name,Transformation,Need to remove some columns,Deterministic,P/n ratio too high,Stream,Time series,Too many low cardinality,Hidden columns,Too little information,Too many IDs,Redundant,Crafted features,Simulated,Artificial,heterogeneous,n_features,n_samples,num_categorical_columns,num_columns_missing,num_pseudo_categorical_columns,num_rows_missing,original_n_features,original_n_samples,score_hbgt,score_logistic,too_easy,
1,1,189,kin8nm,,,,,,,,,,,,,,,0,8,8192,0,0,0,0,8,8192,"-0,1095281416","-0,2025073388",0,
0,1,197,cpu_act,none,,,,,,,,,,,1,,,,21,8192,0,0,0,0,21,8192,"-3,059637121","-12,54793984",0,8192
1,0,198,delta_elevators,,,,,,,,,,,1,,,,,5,9517,0,0,1,0,6,9517,"-0,001529501051","-0,001484632406",1,
0,1,201,pol,none,,,,,,,,,,,,,,,26,15000,0,0,22,0,48,15000,"-12,81661615","-26,51534969",0,15000
,0,215,2dplanes,,,,,,,,,,,,,,,,0,40768,0,0,10,0,10,40768,,,,40768
0,1,216,elevators,none,,,,,,,,,,,,,,,16,16599,0,0,2,0,18,16599,"-0,002570986162","-0,004344350139",0,16599
1,1,218,house_8L,,,,,,,,,,,1,,,,,8,22784,0,0,0,0,8,22784,"-30390,90653","-42686,19993",0,
1,1,225,puma8NH,,,,,,,,,,,,,,,0,8,8192,0,0,0,0,8,8192,"-3,44973079","-4,330717526",0,
1,1,227,cpu_small,,,,,,,,,,,1,,,,,12,8192,0,0,0,0,12,8192,"-3,322412334","-12,19021734",0,
,0,273,"IMDB,drama",,,,,,,,,,,,,,,,0,120919,0,0,1001,0,1001,120919,,,,120919
1,1,294,satellite_image,,,,,,,,,,,,,,,,36,6435,0,0,0,0,36,6435,"-1,148253523","-1,967020098",0,
0,1,300,isolet,none,,,,,,,,,,,1,,,,613,7797,0,0,4,0,617,7797,"-3,410278934","-6,43889053",0,7797
1,,390,"new3s,wc",,,,1,,,,,,,,,,,,3613,9558,0,0,23219,0,26832,9558,,,,
1,1,399,"ohscal,wc",,,,1,,,,,,,,,,,,665,11162,0,0,10800,0,11465,11162,"-2,369660315","-2,627194129",0,
0,1,287,wine_quality,none,,,,,,,,,,,,,,,11,6497,0,0,0,0,11,6497,"-0,6790611688","-0,8120953234",0,6497
0,1,296,Ailerons,none,,,,,,,,,,,,,,,33,13750,0,0,7,0,40,13750,"-0,0001609596785","-0,0001803888478",0,13750
1,0,298,coil2000,,,,,,,,,,,,,,,,35,9822,0,0,50,0,85,9822,"-0,2525741248","-0,2443803407",1,
1,1,308,puma32H,,,,,,,,,,,,,,,0,32,8192,0,0,0,0,32,8192,"-0,007777154158","-0,02693773883",0,
1,1,344,mv,,,,,,,,,,,,,,1,,7,40768,3,0,0,0,10,40768,"-0,3527010514","-5,52019646",0,
1,1,405,mtp,,,,,,,,,,,,,,1,,189,4450,0,0,13,0,202,4450,"-0,1165001194","-0,1248934539",0,
0,0,416,yprop_4_1,none,,,,,,,,,,,1,,,,42,8885,0,0,209,0,251,8885,"-0,02888605898","-0,02919387271",1,8885
1,0,422,topo_2_1,,,,1,,,,,,,,,,,,252,8885,0,0,14,0,266,8885,"-0,03295907091","-0,03367135401",1,
1,1,503,wind,,,,,,,,,,,,,,,0,14,6574,0,0,0,0,14,6574,"-3,072514036","-3,311202325",0,
,0,504,analcatdata_supreme,,,,,,,,,,,,,,,,2,4052,0,0,5,0,7,4052,,,,4052
0,1,537,houses,log,,,,,,,,,,,,,,,8,20640,0,0,0,0,8,20640,"-0,2445626883","-0,3418057718",0,20640
1,1,558,bank32nh,,,,,,,,,,,,,,1,,28,8192,0,0,4,0,32,8192,"-0,09713384021","-0,1176683721",0,
1,1,562,cpu_small,,,,,,,,,,,1,,,,,12,8192,0,0,0,0,12,8192,"-3,315562861","-11,7788717",0,
1,1,564,fried,,,,,,,,,,,,,,1,,10,40768,0,0,0,0,10,40768,"-1,115145212","-2,617693609",0,
1,1,572,bank8FM,,,,,,,,,,,,,,1,,7,8192,0,0,1,0,8,8192,"-0,03214931453","-0,05086250002",0,
1,1,573,cpu_act,,,,,,,,,,,1,,,,,21,8192,0,0,0,0,21,8192,"-3,225485984","-11,73073663",0,
0,1,574,house_16H,log,,,,,,,,,,,,,,,16,22784,0,0,0,0,16,22784,"-0,5982527548","-0,7609417447",0,22784
,0,688,visualizing_soil,,,,,,,,,,,,,,,,3,8641,1,0,0,0,4,8641,,,,8641
1,1,1191,BNG(pbc),,,,,,,,,,,,,,1,,10,1000000,8,0,0,0,18,1000000,"-933,0262488","-983,2573935",0,
1,1,1192,BNG(autoHorse),,,,,,,,,,,,,,1,,16,1000000,8,0,1,0,25,1000000,"-24,10353395","-28,84578256",0,
1,1,1195,BNG(autoPrice),,,,,,,,,,,,,,1,,15,1000000,0,0,0,0,15,1000000,"-3722,918441","-4447,344103",0,
1,0,1199,BNG(echoMonths),,,,,,,,,,,,,,1,,6,17496,3,0,0,0,9,17496,"-14,74265311","-15,28378688",1,
,0,1203,BNG(pwLinear),,,,,,,,,,,,,,,,0,177147,0,0,10,0,10,177147,,,,177147
