doi,title_CR,journal_pr,journal.x,journal.y,is_published_api,is_published_reported
10.1101/2020.06.11.145920,SARS-COV-2 MRNA VACCINE DEVELOPMENT ENABLED BY PROTOTYPE PATHOGEN PREPAREDNESS,Nature,NA,NA,TRUE,TRUE
10.1101/2020.06.20.159715,EVALUATION OF THE IMMUNOGENICITY OF PRIME-BOOST VACCINATION WITH THE REPLICATION-DEFICIENT VIRAL VECTORED COVID-19 VACCINE CANDIDATE CHADOX1 NCOV-19,npj vaccines,NA,NA,TRUE,TRUE
10.1101/2020.05.26.115923,T-CELL HYPERACTIVATION AND PARALYSIS IN SEVERE COVID-19 INFECTION REVEALED BY SINGLE-CELL ANALYSIS,NA,NA,NA,FALSE,TRUE
10.1101/2020.05.20.106401,DEEP IMMUNE PROFILING OF COVID-19 PATIENTS REVEALS PATIENT HETEROGENEITY AND DISTINCT IMMUNOTYPES WITH IMPLICATIONS FOR THERAPEUTIC INTERVENTIONS,Science,NA,NA,TRUE,TRUE
10.1101/2020.05.14.095414,PRE-EXISTING AND DE NOVO HUMORAL IMMUNITY TO SARS-COV-2 IN HUMANS,NA,NA,NA,FALSE,TRUE
10.1101/2020.05.13.092619,CONVERGENT ANTIBODY RESPONSES TO SARS-COV-2 INFECTION IN CONVALESCENT INDIVIDUALS,Nature,NA,NA,TRUE,TRUE
10.1101/2020.08.21.262329,IMPAIRED CYTOTOXIC CD8+ T CELL RESPONSE IN ELDERLY COVID-19 PATIENTS,NA,NA,NA,FALSE,TRUE
10.1101/2020.08.02.233320,REGN-COV2 ANTIBODY COCKTAIL PREVENTS AND TREATS SARS-COV-2 INFECTION IN RHESUS MACAQUES AND HAMSTERS,NA,Science,Science,FALSE,TRUE
10.1101/2020.03.20.001008,RT-QPCR DETECTION OF SARS-COV-2 RNA FROM PATIENT NASOPHARYNGEAL SWAB USING QIAGEN RNEASY KITS OR DIRECTLY VIA OMISSION OF AN RNA EXTRACTION STEP,NA,NA,NA,FALSE,TRUE
10.1101/2020.05.06.081497,A MOUSE-ADAPTED SARS-COV-2 MODEL FOR THE EVALUATION OF COVID-19 MEDICAL COUNTERMEASURES,Nature (Lond.),NA,NA,TRUE,TRUE
10.1101/2020.05.13.093195,CHADOX1 NCOV-19 VACCINATION PREVENTS SARS-COV-2 PNEUMONIA IN RHESUS MACAQUES,Nature,NA,NA,TRUE,TRUE
10.1101/2020.04.17.046375,RAPID DEVELOPMENT OF AN INACTIVATED VACCINE FOR SARS-COV-2,Science,NA,NA,TRUE,TRUE
10.1101/2020.06.05.098590,"CORONAVIRUS TESTING INDICATES TRANSMISSION RISK INCREASES ALONG WILDLIFE SUPPLY CHAINS FOR HUMAN CONSUMPTION IN VIET NAM, 2013-2014",plos one,NA,NA,TRUE,TRUE
10.1101/2020.05.11.088179,SARS-COV-2 ORF3B IS A POTENT INTERFERON ANTAGONIST WHOSE ACTIVITY IS FURTHER INCREASED BY A NATURALLY OCCURRING ELONGATION VARIANT,Cell Reports,NA,NA,TRUE,TRUE
10.1101/2020.03.08.982637,AERODYNAMIC CHARACTERISTICS AND RNA CONCENTRATION OF SARS-COV-2 AEROSOL IN WUHAN HOSPITALS DURING COVID-19 OUTBREAK,NA,NA,NA,FALSE,TRUE
10.1101/2020.05.18.101493,"SARS-COV2 INFECTION IN FARMED MINK, NETHERLANDS, APRIL 2020",Euro surveill,NA,NA,TRUE,TRUE
10.1101/2020.03.19.997890,"AN ORALLY BIOAVAILABLE BROAD-SPECTRUM ANTIVIRAL INHIBITS SARS-COV-2 AND MULTIPLE ENDEMIC, EPIDEMIC AND BAT CORONAVIRUS",Sci. transl. med,NA,NA,TRUE,TRUE
10.1101/2020.04.23.056309,SARS-COV-2 ISOLATION AND PROPAGATION FROM TURKISH COVID-19 PATIENTS,NA,NA,NA,FALSE,TRUE
10.1101/2020.06.26.173476,IN SITU STRUCTURAL ANALYSIS OF SARS-COV-2 SPIKE REVEALS FLEXIBILITY MEDIATED BY THREE HINGES,science (wash.),NA,NA,TRUE,TRUE
10.1101/2020.04.15.043166,CLINICAL BENEFIT OF REMDESIVIR IN RHESUS MACAQUES INFECTED WITH SARS-COV-2,nature (lond.),NA,NA,TRUE,TRUE
10.1101/2020.02.17.951335,ISOLATION AND CHARACTERIZATION OF 2019-NCOV-LIKE CORONAVIRUS FROM MALAYAN PANGOLINS,Nature,NA,NA,TRUE,TRUE
10.1101/2020.05.31.126136,A DISTINCT PHYLOGENETIC CLUSTER OF INDIAN SARS-COV-2 ISOLATES,NA,Open Forum Infectious Diseases,Open Forum Infectious Diseases,FALSE,TRUE
10.1101/2020.05.26.115832,DIFFERENT PATTERN OF PRE-EXISTING SARS-COV-2 SPECIFIC T CELL IMMUNITY IN SARS-RECOVERED AND UNINFECTED INDIVIDUALS,Nature,Nature,Nature,TRUE,TRUE
10.1101/2020.03.25.009084,NON-NEURAL EXPRESSION OF SARS-COV-2 ENTRY GENES IN THE OLFACTORY EPITHELIUM SUGGESTS MECHANISMS UNDERLYING ANOSMIA IN COVID-19 PATIENTS,science advances,NA,"Science Advances 31 Jul 2020:
Vol. 6, no. 31, eabc5801",TRUE,TRUE
10.1101/2020.06.11.146522,SHIELDING AND BEYOND: THE ROLES OF GLYCANS IN SARS-COV-2 SPIKE PROTEIN,NA,NA,NA,FALSE,TRUE
10.1101/2020.04.27.064774,A SARS-COV-2 VACCINE CANDIDATE WOULD LIKELY MATCH ALL CURRENTLY CIRCULATING STRAINS,Proceedings of the National Academy of Sciences of the United States of America,PNAS,PNAS,TRUE,TRUE
10.1101/2020.05.19.097410,THE IMPACT OF SUPER-SPREADERS IN COVID-19: MAPPING GENOME VARIATION WORLDWIDE,NA,NA,NA,TRUE,TRUE
10.1101/2020.04.09.034967,COMPARATIVE ACE2 VARIATION AND PRIMATE COVID-19 RISK,NA,NA,NA,FALSE,TRUE
10.1101/2020.03.21.990770,POTENT HUMAN NEUTRALIZING ANTIBODIES ELICITED BY SARS-COV-2 INFECTION,Nature,NA,NA,TRUE,TRUE
10.1101/2020.03.21.001586,COMPARATIVE ANALYSES OF SAR-COV2 GENOMES FROM DIFFERENT GEOGRAPHICAL LOCATIONS AND OTHER CORONAVIRUS FAMILY GENOMES REVEALS UNIQUE FEATURES POTENTIALLY CONSEQUENTIAL TO HOST-VIRUS INTERACTION AND PATHOGENESIS,Heliyon,NA,NA,TRUE,TRUE
10.1101/2020.06.03.132134,DETECTION DOGS AS A HELP IN THE DETECTION OF COVID-19: CAN THE DOG ALERT ON COVID-19 POSITIVE PERSONS BY SNIFFING AXILLARY SWEAT SAMPLES? PROOF-OF-CONCEPT STUDY,NA,NA,NA,FALSE,TRUE
10.1101/2020.06.22.164665,CHLOROQUINE AND HYDROXYCHLOROQUINE AS ACE2 BLOCKERS TO INHIBIT VIROPEXIS OF COVID-19 SPIKE PSEDOTYPE VIRUS,phytomedicine,NA,NA,TRUE,TRUE
10.1101/2020.05.21.109322,THE EMERGENCE OF SARS-COV-2 IN EUROPE AND THE US,NA,NA,NA,TRUE,TRUE
10.1101/2020.05.06.20092999,OPENSAFELY: FACTORS ASSOCIATED WITH COVID-19-RELATED HOSPITAL DEATH IN THE LINKED ELECTRONIC HEALTH RECORDS OF 17 MILLION ADULT NHS PATIENTS.,NA,NA,NA,FALSE,TRUE
10.1101/2020.03.12.20034660,IMPACT ASSESSMENT OF NON-PHARMACEUTICAL INTERVENTIONS AGAINST COVID-19 AND INFLUENZA IN HONG KONG: AN OBSERVATIONAL STUDY,Lancet Public Health,NA,NA,TRUE,TRUE
10.1101/2020.07.19.20157362,"ON THE EFFECT OF AGE ON THE TRANSMISSION OF SARS-COV-2 IN HOUSEHOLDS, SCHOOLS AND THE COMMUNITY",NA,NA,NA,FALSE,TRUE
10.1101/2020.06.20.20130476,"CHARACTERIZING SUPER-SPREADING EVENTS AND AGE-SPECIFIC INFECTIVITY OF COVID-19 TRANSMISSION IN GEORGIA, USA",Proceedings of the National Academy of Sciences of the United States of America,NA,NA,TRUE,TRUE
10.1101/2020.07.14.20153643,EPIDEMIOLOGY AND TRANSMISSION DYNAMICS OF COVID-19 IN TWO INDIAN STATES,NA,NA,NA,FALSE,TRUE
10.1101/2020.08.03.20167395,VIABLE SARS-COV-2 IN THE AIR OF A HOSPITAL ROOM WITH COVID-19 PATIENTS,NA,NA,NA,NA,TRUE
10.1101/2020.05.22.20109231,"ASSOCIATION OF COUNTRY-WIDE CORONAVIRUS MORTALITY WITH DEMOGRAPHICS, TESTING, LOCKDOWNS, AND PUBLIC WEARING OF MASKS.",NA,Am.J.Tropical Med. & Hyg.,NA,FALSE,TRUE
10.1101/2020.05.03.20089854,A SYSTEMATIC REVIEW AND META-ANALYSIS OF PUBLISHED RESEARCH DATA ON COVID-19 INFECTION-FATALITY RATES,NA,NA,NA,FALSE,TRUE
10.1101/2020.08.24.20180851,AGE-SPECIFIC MORTALITY AND IMMUNITY PATTERNS OF SARS-COV-2 INFECTION IN 45 COUNTRIES,NA,NA,NA,FALSE,TRUE
10.1101/2020.02.07.20021154,"THE NOVEL CORONAVIRUS, 2019-NCOV, IS HIGHLY CONTAGIOUS AND MORE INFECTIOUS THAN INITIALLY ESTIMATED",NA,NA,NA,FALSE,TRUE
10.1101/2020.07.29.20162701,ESTIMATES OF THE RATE OF INFECTION AND ASYMPTOMATIC COVID-19 DISEASE IN A POPULATION SAMPLE FROM SE ENGLAND,NA,NA,NA,FALSE,TRUE
10.1101/2020.04.05.20054502,EXPOSURE TO AIR POLLUTION AND COVID-19 MORTALITY IN THE UNITED STATES,NA,NA,NA,FALSE,TRUE
10.1101/2020.03.11.20031096,RELATIONSHIP BETWEEN THE ABO BLOOD GROUP AND THE COVID-19 SUSCEPTIBILITY,clin infect dis,NA,NA,TRUE,TRUE
10.1101/2020.08.13.20173161,NEUTRALIZING ANTIBODIES CORRELATE WITH PROTECTION FROM SARS-COV-2 IN HUMANS DURING A FISHERY VESSEL OUTBREAK WITH HIGH ATTACK RATE,j. clin. microbiol,J. Clinical Microbio.,J. Clinical Microbio.,TRUE,TRUE
10.1101/2020.03.03.20028423,"EPIDEMIOLOGY AND TRANSMISSION OF COVID-19 IN SHENZHEN CHINA: ANALYSIS OF 391 CASES AND 1,286 OF THEIR CLOSE CONTACTS",Lancet Infect Dis,NA,NA,TRUE,TRUE
10.1101/2020.04.17.20061440,PRESENCE OF SARS-COV-2 REACTIVE T CELLS IN COVID-19 PATIENTS AND HEALTHY DONORS,Nature,NA,NA,TRUE,TRUE
10.1101/2020.04.27.20082362,PERFORMANCE CHARACTERISTICS OF THE ABBOTT ARCHITECT SARS-COV-2 IGG ASSAY AND SEROPREVALENCE TESTING IN IDAHO,J. clin. microbiol,Journal of Clinical Microbiology; Special IssueL Immunoassays; July 2020,Journal of Clinical Microbiology; Special IssueL Immunoassays; July 2020,TRUE,TRUE
10.1101/2020.05.02.20080036,HYDROXYCHLOROQUINE AND AZITHROMYCIN PLUS ZINC VS HYDROXYCHLOROQUINE AND AZITHROMYCIN ALONE: OUTCOMES IN HOSPITALIZED COVID-19 PATIENTS,NA,NA,Journal of Medical Microbiology,FALSE,TRUE
10.1101/2020.04.19.20054262,PULMONARY POST-MORTEM FINDINGS IN A LARGE SERIES OF COVID-19 CASES FROM NORTHERN ITALY,Lancet infect. dis,NA,NA,TRUE,TRUE
10.1101/2020.05.09.20096370,CHEST COMPUTED TOMOGRAPHY FINDINGS IN ASYMPTOMATIC PATIENTS WITH COVID-19,respiration,NA,NA,TRUE,TRUE
10.1101/2020.05.11.20086439,HUMAN CORONAVIRUS REINFECTION DYNAMICS: LESSONS FOR SARS-COV-2,NA,NA,NA,FALSE,TRUE
10.1101/2020.04.11.20062018,ASSESSMENT OF N95 RESPIRATOR DECONTAMINATION AND RE-USE FOR SARS-COV-2,Emerg. infect. dis,NA,NA,TRUE,TRUE
10.1101/2020.07.24.20149815,SYSTEMATIC EVALUATION AND EXTERNAL VALIDATION OF 22 PROGNOSTIC MODELS AMONG HOSPITALISED ADULTS WITH COVID-19: AN OBSERVATIONAL COHORT STUDY,NA,NA,NA,FALSE,TRUE
10.1101/2020.07.11.20147793,LOW-DOSE WHOLE-LUNG RADIATION FOR COVID-19 PNEUMONIA,NA,NA,NA,FALSE,TRUE
10.1101/2020.06.03.20116988,LOW-DOSE WHOLE-LUNG RADIATION FOR COVID-19 PNEUMONIA: PLANNED DAY-7 INTERIM ANALYSIS OF A REGISTERED CLINICAL TRIAL,NA,NA,NA,FALSE,TRUE
10.1101/2020.04.14.20065771,"A SYSTEMATIC REVIEW OF ANTIBODY MEDIATED IMMUNITY TO CORONAVIRUSES: ANTIBODY KINETICS, CORRELATES OF PROTECTION, AND ASSOCIATION OF ANTIBODY RESPONSES WITH SEVERITY OF DISEASE",NA,NA,NA,TRUE,TRUE
10.1101/2020.07.15.20154518,VIRAL LOAD OF SARS-COV-2 ACROSS PATIENTS AND COMPARED TO OTHER RESPIRATORY VIRUSES,microbes infect,NA,NA,TRUE,TRUE
10.1101/2020.05.20.20102236,CONVALESCENT PLASMA TREATMENT OF SEVERE COVID-19: A MATCHED CONTROL STUDY,NA,NA,NA,FALSE,TRUE
10.1101/2020.06.23.20138289,LONGITUDINAL IMMUNOLOGICAL ANALYSES REVEAL INFLAMMATORY MISFIRING IN SEVERE COVID-19 PATIENTS,Nature,NA,NA,TRUE,TRUE
10.1101/2020.02.22.20026500,"NEUROLOGICAL MANIFESTATIONS OF HOSPITALIZED PATIENTS WITH COVID-19 IN WUHAN, CHINA: A RETROSPECTIVE CASE SERIES STUDY",JAMA neurol. (Print),NA,NA,TRUE,TRUE
10.1101/2020.06.15.20132027,TRANSMISSION OF SARS-COV-2 BY INHALATION OF RESPIRATORY AEROSOL IN THE SKAGIT VALLEY CHORALE SUPERSPREADING EVENT,NA,NA,NA,FALSE,TRUE
10.1101/2020.07.15.20154690,THE FIRST CONSECUTIVE 5000 PATIENTS WITH CORONAVIRUS DISEASE 2019 FROM QATAR; A NATION-WIDE COHORT STUDY,NA,NA,NA,FALSE,TRUE
10.1101/2020.06.01.20100461,"DETERMINING THE OPTIMAL STRATEGY FOR REOPENING SCHOOLS, WORK AND SOCIETY IN THE UK: BALANCING EARLIER OPENING AND THE IMPACT OF TEST AND TRACE STRATEGIES WITH THE RISK OF OCCURRENCE OF A SECONDARY COVID-19 PANDEMIC WAVE",Lancet Child Adolesc. Health,NA,NA,TRUE,TRUE
