dataset_name,n_samples,n_features,new_link
cpu_act,8192,21,https://www.openml.org/d/44132
pol,15000,26,https://www.openml.org/d/44133
elevators,16599,16,https://www.openml.org/d/44134
isolet,7797,613,https://www.openml.org/d/44135
wine_quality,6497,11,https://www.openml.org/d/44136
Ailerons,13750,33,https://www.openml.org/d/44137
houses,20640,8,https://www.openml.org/d/44138
house_16H,22784,16,https://www.openml.org/d/44139
diamonds,53940,6,https://www.openml.org/d/44140
Brazilian_houses,10692,8,https://www.openml.org/d/44141
Bike_Sharing_Demand,17379,6,https://www.openml.org/d/44142
nyc-taxi-green-dec-2016,581835,9,https://www.openml.org/d/44143
house_sales,21613,15,https://www.openml.org/d/44144
sulfur,10081,6,https://www.openml.org/d/44145
medical_charges,163065,3,https://www.openml.org/d/44146
MiamiHousing2016,13932,13,https://www.openml.org/d/44147
superconduct,21263,79,https://www.openml.org/d/44148
california,20640,8,https://www.openml.org/d/44025
fifa,18063,5,https://www.openml.org/d/44026
year,515345,90,https://www.openml.org/d/44027
