,dataset_id,dataset_name,heterogeneous,num_categorical_columns,num_columns_missing,num_pseudo_categorical_columns,num_rows_missing,original_n_features,original_n_samples,score_linear,score_resnet,too_easy
0,44.0,spambase,,0.0,0.0,0.0,0.0,57.0,4601.0,0.9246323529411764,0.9314338235294117,1.0
1,152.0,Hyperplane_10_1E-3,,0.0,0.0,0.0,0.0,10.0,1000000.0,0.6957666666666666,0.6705,1.0
2,153.0,Hyperplane_10_1E-4,,0.0,0.0,0.0,0.0,10.0,1000000.0,0.9061,0.8928666666666667,1.0
3,246.0,BNG(labor),,8.0,0.0,1.0,0.0,16.0,1000000.0,0.7716666666666666,0.7929333333333334,1.0
4,251.0,BNG(breast-w),,0.0,0.0,0.0,0.0,9.0,39366.0,0.9790770757525636,0.9803175653324512,1.0
5,256.0,BNG(colic.ORIG),,20.0,0.0,0.0,0.0,27.0,1000000.0,0.5056333333333334,0.5024,1.0
6,257.0,BNG(colic),,15.0,0.0,0.0,0.0,22.0,1000000.0,0.6464333333333333,0.6741666666666667,1.0
7,258.0,BNG(credit-a),,9.0,0.0,0.0,0.0,15.0,1000000.0,0.7441,0.7799666666666667,1.0
8,267.0,BNG(heart-statlog),,0.0,0.0,7.0,0.0,13.0,1000000.0,0.7904666666666667,0.8076666666666666,1.0
9,269.0,BNG(hepatitis),,13.0,0.0,0.0,0.0,19.0,1000000.0,0.7607,0.7847666666666666,1.0
10,351.0,codrna,,0.0,0.0,0.0,0.0,8.0,488565.0,0.9521333333333334,0.961,1.0
11,357.0,vehicle_sensIT,,0.0,0.0,0.0,0.0,100.0,98528.0,0.8582333333333333,0.8417333333333333,1.0
12,720.0,abalone,,1.0,0.0,0.0,0.0,8.0,4177.0,0.7843074459567655,0.7838270616493195,1.0
13,725.0,bank8FM,,0.0,0.0,1.0,0.0,8.0,8192.0,0.9408564231738035,0.9395465994962218,1.0
14,734.0,ailerons,,0.0,0.0,7.0,0.0,40.0,13750.0,0.879839862739491,0.8678295682013154,1.0
15,735.0,cpu_small,,0.0,0.0,0.0,0.0,12.0,8192.0,0.898453261600538,0.9085406859448554,1.0
16,737.0,space_ga,,0.0,0.0,0.0,0.0,6.0,3107.0,0.8391351351351352,0.8774054054054055,1.0
17,761.0,cpu_act,,0.0,0.0,0.0,0.0,21.0,8192.0,0.9241425689307331,0.9269670477471419,1.0
18,803.0,delta_ailerons,,0.0,0.0,0.0,0.0,5.0,7129.0,0.9357569721115538,0.9363545816733068,1.0
19,816.0,puma8NH,,0.0,0.0,0.0,0.0,8.0,8192.0,0.8285247241520229,0.801634654679199,1.0
20,819.0,delta_elevators,,0.0,0.0,1.0,0.0,6.0,9517.0,0.8755633802816902,0.8710563380281691,1.0
21,823.0,houses,,0.0,0.0,0.0,0.0,8.0,20640.0,0.9611765439022871,0.9807440643110862,1.0
22,833.0,bank32nh,,0.0,0.0,4.0,0.0,32.0,8192.0,0.799213630406291,0.7587155963302752,1.0
23,846.0,elevators,,0.0,0.0,2.0,0.0,18.0,16599.0,0.8713868139006171,0.8748294900941864,1.0
24,847.0,wind,,0.0,0.0,0.0,0.0,14.0,6574.0,0.848590021691974,0.8426247288503254,1.0
25,871.0,pollen,,0.0,0.0,0.0,0.0,5.0,3848.0,0.49246753246753244,0.5026839826839826,1.0
26,976.0,JapaneseVowels,,0.0,0.0,0.0,0.0,14.0,9961.0,0.9500515995872034,0.9900928792569659,1.0
